1	18429439	2221	28	67795879	97	78516
2	35745935	3584	28	92604647	48	59792
3	10541231	1042	26	68831695	100	49383
4	33750679	3015	27	96470743	48	67086
5	19899807	2371	28	71934583	97	56192
6	35668655	3575	28	92328543	48	69904
7	10023951	994	28	68239583	100	62812
8	37414447	3753	28	94317383	48	60839
9	11335271	1117	28	69145847	97	33333
10	33807583	3054	28	97379007	48	67296
11	18707135	2220	28	69916167	100	74197
12	34733447	2854	28	97930975	48	84893
13	19363703	2578	27	70718207	97	81605
14	34197663	3436	28	94450807	56	81992
15	15851215	1585	28	70473127	100	53589
16	33001127	3295	28	95290159	52	78199
17	17086975	1725	28	69967927	97	72274
18	32889727	3257	28	95935039	48	71212
19	18165311	1868	28	70246951	100	81870
20	32293695	3175	27	95330671	4	78597
21	18562655	1926	27	70741383	97	45888
22	33074615	3237	28	93974087	0	50374
23	15237607	1608	28	69239983	100	58085
24	32687615	3232	28	93153271	0	64719
25	11685047	1217	27	68821607	97	73808
26	29713407	2977	26	83318895	100	51516
27	9314871	927	28	65029799	100	63840
28	28051903	2711	27	88619239	53	67320
29	15522335	1662	27	66569247	97	43997
30	25573911	2307	28	84406783	52	70003
31	16322183	1896	28	66332607	100	68102
32	29325599	2658	28	87811727	48	60490
33	16534223	1944	28	68005319	97	60695
34	31099279	2713	28	87718471	48	84538
35	17994623	2215	28	68549383	100	83925
36	29701775	2576	28	87001071	100	68025
37	20158111	2427	28	69748455	97	58562
38	25517511	2468	28	84055751	44	71306
39	19013991	1996	28	69490871	100	73894
40	30607447	3052	28	83492935	52	65539
41	10301855	1035	28	65335999	97	51239
42	31980943	3208	28	82255231	56	50100
43	9502583	944	28	65950903	100	50768
44	30075655	2939	27	87005311	48	67944
45	16799511	1763	28	67420799	97	62482
46	35344527	2899	28	88546703	48	55493
47	16223639	2280	28	50280879	100	66394
48	37697247	3733	28	71341143	24	52390
49	15364879	1585	28	49647447	97	76255
50	41140055	3941	28	74459783	36	57573
51	15691271	1762	28	48939119	98	52833
52	42932847	4245	28	76423783	24	57065
53	16720423	1737	28	50595199	97	65052
54	45941751	4369	28	79497279	48	65111
55	17523119	2004	28	51355807	100	54005
56	39284607	3936	28	72919015	84	63782
57	9547199	944	27	43241639	97	54215
58	36977447	3577	26	70276831	28	58037
59	16147383	1752	28	49919087	100	56827
60	43391879	4248	28	76971495	29	63201
61	16249207	1738	28	50303479	97	62350
62	38384439	3651	28	73019447	24	61318
63	13480367	1555	28	46230663	100	60303
64	29252623	2934	28	62761855	28	54652
65	8437319	838	28	42327287	29	63780
66	32557767	2945	28	66070687	28	60121
67	13029199	1630	28	46754727	100	62115
68	37740095	3785	26	71216159	24	64821
69	10187623	1014	28	44146559	45	57976
70	40747615	4092	27	74316959	28	69727
71	14129919	1411	27	48126359	28	64588
72	18411335	1805	28	52292815	0	54915
73	4803751	474	28	39051783	33	62484
74	43986239	4416	28	77630599	24	59224
75	11392815	1133	28	45445455	52	50380
76	41525999	4162	28	75248839	24	60677
77	11695855	1165	28	45310935	97	60693
78	42594303	4218	28	76149127	24	56822
79	14404791	1497	28	48196583	100	54461
80	43334695	4227	27	76792135	28	54992
81	16195263	1750	28	49701847	97	65088
82	41773479	4168	28	75616943	24	35876
83	9801079	1001	28	43429975	100	77767
84	42903415	4022	28	76519239	24	69735
85	16019391	1892	28	50119335	97	53305
86	26066207	2582	28	59450079	24	75268
87	10099647	1036	28	43902143	100	63129
88	28839399	2851	28	62862959	24	32867
89	13872183	1430	28	47253815	97	61623
90	39478719	3852	28	73083215	36	50909
